titre,description,lieu,image
"Wispern, 1998"," Bronze, copper, rope and water, 21 elements of variable dimensions","Installation view at Chaos-Saliva. Palacio de Velázquez-Museo Nacional Centro de Arte Reina Sofí­a, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/51-Wispern%20expo%20reina.jpg
"Wonderland II, 1997","Paraffin, nylon and light, 38 elements, 241 x 60 x 10 cm each","Installation view at Chaos-Saliva. Palacio de Velázquez-Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/58-Wonderland%20II.jpg
,"Installation view at Chaos-Saliva. Palacio de Velázquez - Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/60-Expo%20Sofia%201.jpg
"La Neige Rouge, 1991","Cast iron and neon light, 251 x 355 x 355 cm","Installation view at Chaos-Saliva. Palacio de Velázquez - Museo Nacional Centro de Arte Reina Sofía, Madrid, Spain 2000",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-LA%20NEIGE%20ROUGE%20F%20Miro.JPG
"Etwas Von Mir, 1999","Glass, iron, rope and stainless steel, 44 elements of variable dimensions","Installation view at Etwas von Mir. Kunsthalle zu Kiel, Kiel, Germany 2000. Private Collection, Switzerland",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/61-ETWAS%20VON%20MIR%201.jpg
,"Installation view at Tamada Projects Corporation, Tokyo, Japan, 1999",,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/TAMADA%20TOKYO%2C%201999%201%20A.JPG
"Winter Kept Us Warm II, 1998 / Scholars of War, Hotel Paris, Komm Mit! Komm Mit!, 1999","Polyester resin, iron and light, 258 x 123 x 110 cm each","Collection Fundación Caja de Burgos, Spain, and Private Collections",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/62-12%2016-SCHOLARS%20OF%20WAR%2C%20HOTEL%20PARIS%2C%20KOMM%20MIT%21%20KOMM%20MIT%211998-16%20WINTER%20KEPT%20US%20WARM%20II%202.jpg
"Wanderers Nachtlied, 1998","Nylon, iron, light and sound, 2 elements, 200 x 100 x 400 cm each","Installation view at Wanderers Nachtlied. Palais Liechtenstein, Vienna, Austria 1999",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/63-Wanderers%20Viena%202.jpg
"Love Sounds I, II, III, IV and V, 1998","Alabaster, stainless steel, iron, synthetic leather, sound and light, variable dimensions","Installation view at Love Sounds. Kestner Gesellschaft, Hannover, Germany 1999",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/65-Love%20Sounds%20Kestner%201.jpg
"Gemelli, 1998","Molten tempered glass, stainless steel and light, 255 x 205 x 205 cm","Gori Collection, Fattoria Celle, Santomato di Pistoia, Italy",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/64-Gemelli.jpg
"Meeting Point, 1997","Aluminium, 262 x 160 x 230 cm","Dallas?...Caracas?. The McKinney Avenue Contemporary Museum, Dallas, USA 1998. Collection Seven Bridges Foundation, Greenwich, Connecticut, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/66-Meeting-Michael%20Baker.jpg
"Wie Ein Hauch, 1997","Glass, iron, brass and light, 410 x 102 x 204 cm","Installation view at Wie ein Hauch. Galerie Volker Diehl-Bewag Gebäude, Berlin, Germany 1997",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/67-WIE%20EIN%20HAUCH%20Berlin%202.jpg
"Twins I, 1993","Cast iron, steel and soil, 2 elements of variable dimensions","Installation view at The Personal Miraculous Fountain. The Henry Moore Studio, Dean Clough, Halifax, UK 1994",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/68-Twins%20I.jpg
"The Personal Miraculous Fountain, 1993","Bronze, water, soil and light, 250 x 140 x 200 cm","Installation view at The Personal Miraculous Fountain. The Henry Moore Studio, Dean Clough, Halifax, UK 1994",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/70-The%20Personal%20Miracoulus%20Fountain%20Henry%20Moore.jpg
"Wonderland I, 1993","Iron and light, 38 elements, 240 x 82 x 4 cm each","Installation view at Wonderland. Galerí­a Gamarra-Garrigues, Madrid, Spain 1994",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/72-Wonderland%20I%2C%20b.jpg
"Paris I, II, III, 1989","Iron, 250 x 250 x 250 cm each","Private Collection, Paris, France",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/4-Paris-i-ii-iii.jpg
"Les Hores, 1989","Iron, 100 x 380 x 330 cm","Private Collection, Lausanne, Switzerland",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/3-hores-pauli.jpg
"Dona de Vent I, 1989","Iron, 230 x 80 x 80 cm","Private Collection, Lausanne, Switzerland",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/1-dona-vent-pauli.jpg
"451, 1988","Iron, 200 x 200 x 200 cm",,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/2-451-france.JPG
